Gender,Age,Average Weekly Exercise Hours,Health Consciousness Rating,Average Daily Screen Time,Social Media Influence Score,Number of Professional Trainings Attended,Eco-Consciousness Metric,Stress Management Score,Time Management Skill,Lifestyle Choice
2,32,0.0932,0.9044,6.8507,10.6885,3.5769,0.0082,4.097,46.1365,Social Media Influencer
1,34,0.002,0.7129,4.1496,2.1172,1.247,0.0188,2.16,4.1947,Health-Conscious
2,30,0.0239,0.8918,5.4624,3.8965,2.2356,0.0193,4.2615,11.4441,Health-Conscious
2,19,0.0666,5.1433,5.6304,2.7239,3.7192,0.0167,3.7028,45.1851,Health-Conscious
2,59,0.0597,0.4932,5.7372,6.1333,5.1316,1.3135,3.5909,93.371,Eco-Friendly
2,23,0.089,0.7853,0.6733,8.0412,4.5482,0.0315,3.0279,66.1375,Eco-Friendly
1,36,0.0483,0.6637,5.6437,3.4986,0.7406,0.0079,2.9161,1.4379,Eco-Friendly
2,35,0.0647,3.9211,2.7317,3.8523,3.8653,0.0059,4.4318,33.1623,Health-Conscious
1,46,0.0935,0.5085,6.6058,6.3404,3.0966,0.0265,5.7473,33.3094,Eco-Friendly
2,33,0.0375,3.2747,4.2712,2.9267,3.8427,0.0431,4.1541,43.4862,Health-Conscious
2,21,0.2679,0.7334,2.1742,3.4226,3.2253,0.6579,2.4538,22.2989,Eco-Friendly
2,39,2.3867,0.023,4.7998,12.106,3.7534,0.9516,2.4562,46.7245,Fitness Enthusiast
1,22,0.5052,0.3273,7.2777,10.0026,1.4811,0.0115,2.7825,7.2597,Fitness Enthusiast
2,36,0.0283,0.7109,1.3009,3.9085,2.9613,0.0139,3.5503,19.3046,Eco-Friendly
1,24,0.0947,0.7095,4.0786,2.6315,1.7451,0.0023,1.8622,7.3143,Eco-Friendly
1,48,0.4003,5.3817,5.9263,4.3614,5.3737,0.0174,3.6013,101.1,Health-Conscious
2,43,0.0353,0.8042,2.8445,2.6081,3.6619,0.0218,2.4536,36.0567,Eco-Friendly
1,36,0.7026,4.2809,1.5015,3.231,4.5483,0.0258,2.6694,73.5446,Fitness Enthusiast
2,24,0.1119,0.8281,4.7887,4.4237,6.732,0.0161,3.4817,100.8356,Eco-Friendly
2,32,0.0463,1.0388,4.4038,7.6964,3.52,0.0137,4.2654,36.4765,Social Media Influencer
2,37,1.302,3.0711,2.92,2.2958,4.6056,1.3436,2.5627,59.1341,Health-Conscious
1,43,0.0625,6.1612,5.6909,4.2887,4.8984,0.0278,5.0853,98.0311,Health-Conscious
1,26,0.0772,0.7851,5.2038,6.7897,0.5081,0.0122,5.2332,2.6819,Social Media Influencer
1,21,0.0176,0.648,5.6399,4.9013,3.2819,0.0116,4.0568,35.8266,Eco-Friendly
2,35,0.3097,1.7508,5.7267,8.4776,1.8868,0.0009,3.0409,10.3174,Fitness Enthusiast
2,57,0.1022,6.0987,2.4777,3.5638,5.169,0.0255,5.0868,90.1699,Health-Conscious
2,19,0.5726,0.8861,7.0632,3.987,3.8422,0.0084,3.1632,50.641,Fitness Enthusiast
1,31,0.1277,0.6322,1.1329,1.9095,1.672,0.0106,1.1212,5.2923,Eco-Friendly
1,54,0.0065,0.7544,3.9429,1.1211,1.4435,0.0156,1.1884,3.8404,Health-Conscious
1,25,0.0271,4.3619,7.6042,6.0075,4.7128,0.7751,3.5217,85.6187,Social Media Influencer
2,46,0.8828,2.1568,5.4358,5.2235,3.0596,0.7524,2.2386,25.6013,Fitness Enthusiast
2,47,1.691,1.0645,3.847,7.4325,6.2633,1.1099,2.4617,106.4656,Fitness Enthusiast
1,24,0.0233,0.7971,6.8702,4.5472,1.6943,0.0157,4.2104,7.3227,Eco-Friendly
2,25,0.4213,0.182,3.64,11.7762,4.3011,0.0006,2.3245,73.1814,Fitness Enthusiast
2,20,0.0004,1.8981,7.8267,3.017,3.3803,0.0313,3.6851,37.5998,Health-Conscious
1,35,0.0909,0.6317,6.4596,3.9326,3.4212,0.0136,3.6651,38.574,Health-Conscious
1,25,0.0265,0.6126,2.5041,8.7695,3.2737,0.0379,4.2432,24.0067,Eco-Friendly
1,27,1.0381,0.68,6.4872,4.5774,0.4117,0.0079,4.1106,1.5465,Eco-Friendly
2,62,0.0983,0.7312,10.1878,4.0555,3.5699,0.0062,2.8836,50.8965,Health-Conscious
2,46,0.0223,1.5393,6.6506,3.6011,2.3485,0.5649,4.8999,14.5181,Health-Conscious
1,33,0.1065,4.6497,4.6656,3.969,3.5817,0.0059,5.0923,37.0166,Health-Conscious
2,54,0.025,0.9461,6.8009,10.1667,1.3986,0.0043,3.4226,5.3724,Eco-Friendly
2,28,0.0297,0.611,8.7195,4.4208,1.0513,0.0057,3.664,5.4935,Eco-Friendly
1,41,1.6586,5.2942,3.3809,15.7505,3.0632,0.0138,2.9211,21.0018,Fitness Enthusiast
2,28,0.1217,1.3319,4.9747,9.3223,3.8051,1.5168,4.2219,46.3151,Health-Conscious
1,26,0.0416,0.6672,5.7329,4.7111,3.3381,0.0265,4.0443,35.4838,Health-Conscious
2,47,0.0914,0.7613,6.3076,4.3553,3.4912,0.0005,4.3299,36.9987,Eco-Friendly
2,27,0.3271,3.0447,5.6937,16.7848,1.6148,0.01,3.3844,6.8343,Health-Conscious
1,30,0.0418,0.7068,7.1183,4.9301,2.7207,0.0166,5.0099,25.1039,Social Media Influencer
2,32,0.0461,1.8302,7.6199,2.0034,4.5935,0.0086,3.3134,96.5884,Health-Conscious
2,30,0.3984,3.8999,4.562,1.8062,3.1397,0.0132,3.0748,25.8848,Health-Conscious
2,32,0.0235,0.7209,2.3186,10.2222,3.4365,0.0025,7.4873,24.3157,Health-Conscious
2,24,0.3029,0.6109,7.6743,3.6626,3.5685,0.0071,3.5867,44.3321,Eco-Friendly
1,41,0.0231,0.7158,3.2909,6.788,1.9502,0.0132,3.5284,9.7243,Social Media Influencer
2,21,0.052,5.5174,4.9447,3.3706,3.8754,0.013,4.4657,48.4749,Health-Conscious
1,35,0.0126,2.8951,6.5775,4.1305,4.2271,0.0584,3.3565,70.9584,Eco-Friendly
2,37,0.0426,0.7637,2.6633,1.7628,5.948,0.0159,1.3759,100.4607,Eco-Friendly
1,26,0.0743,1.1858,4.3058,2.6735,3.724,0.0357,2.0317,41.7718,Eco-Friendly
2,27,0.4954,0.7618,3.0611,3.1038,1.9558,0.0286,2.9362,10.234,Social Media Influencer
2,38,0.1072,0.6734,5.6222,11.803,2.6923,0.0064,3.6762,17.6338,Health-Conscious
1,38,0.006,0.7108,2.6781,2.4003,3.5265,0.0184,2.2158,29.8832,Eco-Friendly
2,38,0.0017,3.5508,1.4097,3.885,2.4023,0.0021,5.715,7.4493,Health-Conscious
2,41,0.0575,0.5848,8.344,2.4262,2.2903,0.0108,2.7128,15.0512,Eco-Friendly
